Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Price,Collection Media Condition,Collection Sleeve Condition,Collection Notes
07863-62350-1,Evelyn King,Shame,RCA,"12""",,1992,2547011,Uncategorized,2026-08-11 20:17:56,,,,
2628-1-RD,Black Box,Everybody Everybody,"RCA, Deconstruction","12"", Single",,1990,50729,Uncategorized,2026-08-08 16:31:00,10,,,
RETHINK005,Abacus & Haf S,Analogue Stories Vol 4,Re:Think Recordings,"12""",,2025,34757966,Uncategorized,2026-08-12 03:21:52,10,,,
LAT 467 EP,Bochum Welt / Cylob / DMX Krew,Like-A-Tim Remixes,Rephlex,"12"", EP",,1997,56044,Uncategorized,2026-08-03 19:45:29,,,,
rerun005,DJ Misjah,Hollow,ReRun Records,"12""",,2002,78885,Uncategorized,2026-08-07 16:48:16,15,,,
REV 4,Heart On,Sensual Power,Revenge Records,"12""",,1989,5155236,Uncategorized,2026-08-12 01:17:29,,,,
LEFT 10T,Hotline,Rock This House,Rhythm King,"12""",,1986,120631,Uncategorized,2026-08-12 00:59:39,,,,
RISE 042,Basement Jaxx,Rendez-Vu,Rise,"12""",,1999,84810,Uncategorized,2026-08-12 02:45:40,,,,
ROG 01,mattrogg,The Docksides Boy,Roggtrax,"12"", EP",,2023,28427179,Uncategorized,2026-08-03 14:57:11,,,,
ROG 02,mattrogg,Willerian,Roggtrax,"12"", EP",,2025,34895048,Uncategorized,2026-07-31 17:15:39,,,,
RR 9239,Deep Touch (3),I Like To Go,Round And Round,"12"", Maxi",,1994,364114,Uncategorized,2026-08-12 01:26:50,,,,
RSR002 promo,"Robert F, Ric Gresty",Sweet Tonic EP,RSR Productions,"12"", EP, Promo",,0,363299,Uncategorized,2026-08-07 18:31:14,10,,,
"422 854 621-1, 422 854 621-2",Case,Touch Me Tease Me,"Rush Associated Labels, Def Jam Music Group Inc., Spoiled Rotten Entertainment","12"", Single",,1996,542110,Uncategorized,2026-08-08 16:22:51,5,,,
RH-STORE JAMS 029,Rude Futures,Acid Reaction,Rush Hour Store Jams,"12""",,2025,35750443,Uncategorized,2026-07-31 19:49:48,,,,
SN006,Fabe (8),Everyday U,Salty Nuts,"12""",,2017,10769476,Uncategorized,2026-07-31 19:04:47,,,,
